"","d_clust$classification","1","2","3","X1","X2","X3","X4","X5","X6","X7","X8"
"1",7,0.359578947368421,0.034,0.271111111111111,"AL","Sheldon",1,9,1,0.359578947368421,0.034,0.271111111111111
"2",2,0.396757894736842,0.014,0.228571428571429,"AL","Venetia",1,9,1,0.396757894736842,0.014,0.228571428571429
"3",7,0.359368421052632,0.012,0.28,"AL","Warwick",1,9,1,0.359368421052632,0.012,0.28
"4",7,0.366063157894737,0.014,0.2512,"AL","Park Place",1,9,1,0.366063157894737,0.014,0.2512
"5",7,0.367157894736842,0.038,0.28,"AL","Columbia",1,9,1,0.367157894736842,0.038,0.28
"6",2,0.380210526315789,0.1,0.2816,"AL","Brookwood",1,9,1,0.380210526315789,0.1,0.2816
"7",7,0.375031578947368,0.03,0.3072,"AL","Jackson Heights",1,9,1,0.375031578947368,0.03,0.3072
"8",2,0.405473684210526,0.106,0.284395604395604,"AL","South Crichton",1,9,1,0.405473684210526,0.106,0.284395604395604
"9",2,0.406863157894737,0.112,0.321666666666667,"AL","Fisher",1,9,1,0.406863157894737,0.112,0.321666666666667
"10",7,0.383031578947368,0.022,0.2464,"AL","Rothfield",1,9,1,0.383031578947368,0.022,0.2464
"11",7,0.363157894736842,0.038,0.3032,"AL","Berkleigh",1,9,1,0.363157894736842,0.038,0.3032
"12",6,0.397852631578947,0.036,0.328,"AL","Navco",1,9,1,0.397852631578947,0.036,0.328
"13",1,0.384,0.004,0.3112,"AL","Devonshire",1,9,1,0.384,0.004,0.3112
"14",7,0.326105263157895,0.028,0.26046511627907,"AL","Di Grado",1,9,1,0.326105263157895,0.028,0.26046511627907
"15",7,0.367915789473684,0.026,0.3192,"AL","Scenic Hill",1,9,1,0.367915789473684,0.026,0.3192
"16",6,0.384842105263158,0,0.3384,"AL","Muddy Creek",1,9,1,0.384842105263158,0,0.3384
"17",1,0.346694736842105,0,0.302857142857143,"AL","Dawes",1,9,1,0.346694736842105,0,0.302857142857143
"18",6,0.365515789473684,0.148,0.3336,"AL","Carlen",1,9,1,0.365515789473684,0.148,0.3336
"19",1,0.320336842105263,0,0.252173913043478,"AL","Rochon",1,9,1,0.320336842105263,0,0.252173913043478
"20",1,0.368884210526316,0.006,0.328,"AL","Belmeade",1,9,1,0.368884210526316,0.006,0.328
"21",7,0.363326315789474,0.022,0.254285714285714,"AL","Rolling Acres",1,9,1,0.363326315789474,0.022,0.254285714285714
"22",7,0.407242105263158,0.03,0.3,"AL","Plateau",1,9,1,0.407242105263158,0.03,0.3
"23",7,0.378484210526316,0.016,0.3216,"AL","Overlook",1,9,1,0.378484210526316,0.016,0.3216
"24",6,0.399157894736842,0.046,0.336,"AL","Woodlawn",1,9,1,0.399157894736842,0.046,0.336
"25",1,0.3824,0.004,0.287272727272727,"AL","Jefferson",1,9,1,0.3824,0.004,0.287272727272727
"26",1,0.382147368421053,0.008,0.3056,"AL","Melrose",1,9,1,0.382147368421053,0.008,0.3056
"27",6,0.406652631578947,0.06,0.328,"AL","Neely",1,9,1,0.406652631578947,0.06,0.328
"28",4,0.298821052631579,0.11,0,"AL","College Park",1,9,1,0.298821052631579,0.11,0
"29",9,0.252294736842105,0.018,0.3176,"AL","Country Club",1,9,1,0.252294736842105,0.018,0.3176
"30",6,0.379663157894737,0.08,0.3296,"AL","Airmont",1,9,1,0.379663157894737,0.08,0.3296
"31",6,0.403326315789474,0.036,0.3392,"AL","Maryvale",1,9,1,0.403326315789474,0.036,0.3392
"32",6,0.385178947368421,0.006,0.3384,"AL","Bellmont",1,9,1,0.385178947368421,0.006,0.3384
"33",4,0.363115789473684,0.046,0,"AL","Claremont",1,9,1,0.363115789473684,0.046,0
"34",7,0.360168421052632,0.016,0.283636363636364,"AL","Cottage Park",1,9,1,0.360168421052632,0.016,0.283636363636364
"35",2,0.388294736842105,0.104,0.28,"AL","Dauphin Acres",1,9,1,0.388294736842105,0.104,0.28
"36",6,0.387536842105263,0.056,0.3328,"AL","Texas Street",1,9,1,0.387536842105263,0.056,0.3328
"37",6,0.344673684210526,0.048,0.3304,"AL","Thornhill",1,9,1,0.344673684210526,0.048,0.3304
"38",8,0.369263157894737,0.136,0.3,"AL","Lyons Park",1,9,1,0.369263157894737,0.136,0.3
"39",2,0.402863157894737,0.066,0.3248,"AL","Riviera",1,9,1,0.402863157894737,0.066,0.3248
"40",6,0.372842105263158,0.016,0.3288,"AL","Baker",1,9,1,0.372842105263158,0.016,0.3288
"41",6,0.330989473684211,0.008,0.3352,"AL","Overton",1,9,1,0.330989473684211,0.008,0.3352
"42",1,0.375284210526316,0.006,0.2536,"AL","Westfield",1,9,1,0.375284210526316,0.006,0.2536
"43",1,0.394147368421053,0.002,0.283389830508475,"AL","Beau Terra",1,9,1,0.394147368421053,0.002,0.283389830508475
"44",1,0.365684210526316,0.004,0.3104,"AL","Milkhouse",1,9,1,0.365684210526316,0.004,0.3104
"45",6,0.403536842105263,0.072,0.3304,"AL","Carver",1,9,1,0.403536842105263,0.072,0.3304
"46",6,0.343242105263158,0.018,0.3304,"AL","Second Creek",1,9,1,0.343242105263158,0.018,0.3304
"47",1,0.355452631578947,0,0.3296,"AL","Travis",1,9,1,0.355452631578947,0,0.3296
"48",2,0.405515789473684,0.108,0.3224,"AL","Owens",1,9,1,0.405515789473684,0.108,0.3224
"49",1,0.370273684210526,0,0.3216,"AL","Redstone",1,9,1,0.370273684210526,0,0.3216
"50",2,0.390147368421053,0.11,0.287333333333333,"AL","Leinkauf",1,9,1,0.390147368421053,0.11,0.287333333333333
"51",2,0.402568421052632,0.114,0.287423822714681,"AL","Oakleigh",1,9,1,0.402568421052632,0.114,0.287423822714681
"52",1,0.390231578947368,0.004,0.2808,"AL","Riverside",1,9,1,0.390231578947368,0.004,0.2808
"53",8,0.375494736842105,0.066,0.262222222222222,"AL","Kimberline",1,9,1,0.375494736842105,0.066,0.262222222222222
"54",6,0.390652631578947,0.058,0.3392,"AL","Neshota",1,9,1,0.390652631578947,0.058,0.3392
"55",1,0.363452631578947,0,0.2608,"AL","Cypress Shores",1,9,1,0.363452631578947,0,0.2608
"56",8,0.368,0.056,0.292,"AL","Westhill",1,9,1,0.368,0.056,0.292
"57",1,0.357978947368421,0.002,0.2856,"AL","D'Iberville",1,9,1,0.357978947368421,0.002,0.2856
"58",7,0.382863157894737,0.014,0.2616,"AL","Westmont",1,9,1,0.382863157894737,0.014,0.2616
"59",6,0.3904,0.028,0.3352,"AL","Forest Highland",1,9,1,0.3904,0.028,0.3352
"60",7,0.369136842105263,0.02,0.3232,"AL","Canterbury",1,9,1,0.369136842105263,0.02,0.3232
"61",7,0.392126315789474,0.022,0.276363636363636,"AL","Bayview",1,9,1,0.392126315789474,0.022,0.276363636363636
"62",4,0.394568421052632,0.004,0,"AL","Lourdes",1,9,1,0.394568421052632,0.004,0
"63",2,0.403536842105263,0.122,0.252857142857143,"AL","Gorgas",1,9,1,0.403536842105263,0.122,0.252857142857143
"64",6,0.395494736842105,0.028,0.3392,"AL","McVoy",1,9,1,0.395494736842105,0.028,0.3392
"65",2,0.388336842105263,0.046,0.2936,"AL","Nevius",1,9,1,0.388336842105263,0.046,0.2936
"66",1,0.349726315789474,0,0.282105263157895,"AL","Millers Creek",1,9,1,0.349726315789474,0,0.282105263157895
"67",2,0.387494736842105,0.066,0.324,"AL","Bellewood",1,9,1,0.387494736842105,0.066,0.324
"68",7,0.376757894736842,0.01,0.259354838709677,"AL","Bienville",1,9,1,0.376757894736842,0.01,0.259354838709677
"69",6,0.376421052631579,0.032,0.3296,"AL","Terrace Hills",1,9,1,0.376421052631579,0.032,0.3296
"70",7,0.398315789473684,0.026,0.310857142857143,"AL","Cody",1,9,1,0.398315789473684,0.026,0.310857142857143
"71",6,0.381726315789474,0.108,0.336,"AL","Georgia Avenue",1,9,1,0.381726315789474,0.108,0.336
"72",6,0.362526315789474,0.144,0.3328,"AL","Central Business District",1,9,1,0.362526315789474,0.144,0.3328
"73",6,0.392842105263158,0.078,0.3384,"AL","Greenwich Hills",1,9,1,0.392842105263158,0.078,0.3384
"74",2,0.385810526315789,0.112,0.3272,"AL","Washington Square",1,9,1,0.385810526315789,0.112,0.3272
"75",1,0.359031578947368,0.01,0.257142857142857,"AL","Yorkwood",1,9,1,0.359031578947368,0.01,0.257142857142857
"76",7,0.362568421052632,0.018,0.264,"AL","Garland",1,9,1,0.362568421052632,0.018,0.264
"77",8,0.359915789473684,0.13,0.303859649122807,"AL","Hannon Park",1,9,1,0.359915789473684,0.13,0.303859649122807
"78",7,0.406273684210526,0.032,0.2824,"AL","North Crichton",1,9,1,0.406273684210526,0.032,0.2824
"79",7,0.382315789473684,0.036,0.272418300653595,"AL","Malibar Heights",1,9,1,0.382315789473684,0.036,0.272418300653595
"80",6,0.380168421052632,0.018,0.3296,"AL","Crestview",1,9,1,0.380168421052632,0.018,0.3296
"81",1,0.395578947368421,0.004,0.324,"AL","Driftwood",1,9,1,0.395578947368421,0.004,0.324
"82",7,0.39221052631579,0.016,0.306666666666667,"AL","Hillsdale",1,9,1,0.39221052631579,0.016,0.306666666666667
"83",7,0.369431578947368,0.034,0.259,"AL","Parkhill",1,9,1,0.369431578947368,0.034,0.259
"84",8,0.364631578947368,0.096,0.269176470588235,"AL","Reichlieu",1,9,1,0.364631578947368,0.096,0.269176470588235
"85",4,0.405389473684211,0.056,0,"AL","Baltimore",1,9,1,0.405389473684211,0.056,0
"86",1,0.373431578947368,0,0.2872,"AL","Prospect",1,9,1,0.373431578947368,0,0.2872
"87",6,0.396505263157895,0.016,0.34,"AL","Rosedale",1,9,1,0.396505263157895,0.016,0.34
"88",6,0.366821052631579,0.03,0.3296,"AL","Skyland Park",1,9,1,0.366821052631579,0.03,0.3296
"89",2,0.406231578947368,0.092,0.328,"AL","Maysville",1,9,1,0.406231578947368,0.092,0.328
"90",7,0.386105263157895,0.028,0.273846153846154,"AL","Hillview",1,9,1,0.386105263157895,0.028,0.273846153846154
"91",2,0.400926315789474,0.116,0.28,"AL","Rickarby",1,9,1,0.400926315789474,0.116,0.28
"92",2,0.388421052631579,0.066,0.2704,"AL","Colonial Heights",1,9,1,0.388421052631579,0.066,0.2704
"93",2,0.388884210526316,0.084,0.272833876221498,"AR","Central High",1,9,1,0.388884210526316,0.084,0.272833876221498
"94",7,0.375326315789474,0.018,0.27114967462039,"AR","Westwood-Pecan Lake",1,9,1,0.375326315789474,0.018,0.27114967462039
"95",6,0.392463157894737,0.002,0.3392,"AR","65th St. West",1,9,1,0.392463157894737,0.002,0.3392
"96",9,0.248,0.12,0.321632653061225,"AR","Heights",1,9,1,0.248,0.12,0.321632653061225
"97",7,0.382989473684211,0.012,0.275808656036446,"AR","South Geyer Springs",1,9,1,0.382989473684211,0.012,0.275808656036446
"98",8,0.335284210526316,0.056,0.293333333333333,"AR","Riverdale",1,9,1,0.335284210526316,0.056,0.293333333333333
"99",7,0.387284210526316,0.022,0.290588235294118,"AR","Chicot West I-30 So.",1,9,1,0.387284210526316,0.022,0.290588235294118
"100",8,0.361515789473684,0.11,0.2888,"AR","Walnut Valley",1,9,1,0.361515789473684,0.11,0.2888
"101",7,0.401347368421053,0.012,0.3,"AR","South End",1,9,1,0.401347368421053,0.012,0.3
"102",4,0.332042105263158,0.114,0,"AR","Downtown CBD",1,9,1,0.332042105263158,0.114,0
"103",8,0.368505263157895,0.078,0.284825396825397,"AR","Capitol View-Stifft Station",1,9,1,0.368505263157895,0.078,0.284825396825397
"104",6,0.384168421052632,0.156,0.3312,"AR","Downtown Neighborhood",1,9,1,0.384168421052632,0.156,0.3312
"105",8,0.372042105263158,0.1,0.273175355450237,"AR","West Markham",1,9,1,0.372042105263158,0.1,0.273175355450237
"106",2,0.390778947368421,0.05,0.275808656036446,"AR","Cloverdale Watson",1,9,1,0.390778947368421,0.05,0.275808656036446
"107",7,0.319536842105263,0.014,0.3056,"AR","Rock Creek",1,9,1,0.319536842105263,0.014,0.3056
"108",6,0.3984,0.064,0.3352,"AR","Wakefield",1,9,1,0.3984,0.064,0.3352
"109",6,0.345178947368421,0.114,0.3248,"AR","Midtown",1,9,1,0.345178947368421,0.114,0.3248
"110",2,0.395242105263158,0.048,0.275808656036446,"AR","Upper Baseline",1,9,1,0.395242105263158,0.048,0.275808656036446
"111",7,0.387242105263158,0.01,0.269036402569593,"AR","John Barrow",1,9,1,0.387242105263158,0.01,0.269036402569593
"112",6,0.350778947368421,0.07,0.3224,"AR","Reservoir",1,9,1,0.350778947368421,0.07,0.3224
"113",2,0.400842105263158,0.076,0.265714285714286,"AR","Stephens",1,9,1,0.400842105263158,0.076,0.265714285714286
"114",6,0.315831578947368,0.064,0.3264,"AR","River Mountain",1,9,1,0.315831578947368,0.064,0.3264
"115",8,0.357431578947368,0.066,0.261798941798942,"AR","Otter Creek Crystal",1,9,1,0.357431578947368,0.066,0.261798941798942
"116",2,0.39861052631579,0.106,0.28,"AR","Oak Forest",1,9,1,0.39861052631579,0.106,0.28
"117",7,0.398442105263158,0.014,0.3,"AR","East of I-30",1,9,1,0.398442105263158,0.014,0.3
"118",8,0.333305263157895,0.126,0.3168,"AR","Hillcrest",1,9,1,0.333305263157895,0.126,0.3168
"119",6,0.362147368421053,0.09,0.3304,"AR","Briarwood",1,9,1,0.362147368421053,0.09,0.3304
"120",7,0.343747368421053,0.014,0.3184,"AR","Prairie Creek",1,9,1,0.343747368421053,0.014,0.3184
"121",7,0.384126315789474,0.028,0.303066666666667,"AR","Boyle Park",1,9,1,0.384126315789474,0.028,0.303066666666667
"122",7,0.315957894736842,0.014,0.277957957957958,"AZ","Finley Farms",1,9,1,0.315957894736842,0.014,0.277957957957958
"123",7,0.357473684210526,0.052,0.32,"AZ","Prince Tucson",1,9,1,0.357473684210526,0.052,0.32
